Area_Axon;Area_Fiber;CentroidX;CentroidY;Perimeter_Fiber;Perimeter_Axon;Fiber_MinFeretdistance;Axon_MinFeretdistance;MyelinThickness_MinFeretdistance;MinFeretdistance_gratio;Fiber_circleArea_diameter;Axon_circleArea_diameter;MyelinThickness_CircleArea;CircleArea_gratio;Fiber_circlePerimeter_diameter;Axon_circlePerimeter_diameter;MyelinThickness_CirclePerimeter;CirclePerimeter_gratio;ShapeAdjustedEllipse_Fiber;ShapeAdjustedEllipse_Axon;MyelinThickness_ShapeAdjustedEllipse;ShapeAdjustedEllipse_gratio 
15.753527;66.972894;31.000000;-62.300000;30.644182;15.927775;7.896748;3.519824;2.188462;0.445731;9.236655;4.479753;2.378451;0.484997;21.328947;5.017047;8.155950;0.235222;7.053582;2.964165;2.044708;0.420235 
4.301611;10.007162;24.300000;-40.600000;15.847779;8.448149;3.045562;1.642775;0.701394;0.539400;4.115626;2.340888;0.887369;0.568781;4.234595;1.369940;1.432328;0.323511;2.398120;1.509478;0.444321;0.629442 
2.244673;9.737802;22.000000;-40.700000;13.139343;6.873942;2.594156;1.028520;0.782818;0.396476;3.570431;1.690993;0.939719;0.473610;3.186994;0.714864;1.236065;0.224307;2.229574;0.913326;0.658124;0.409642 
1.191718;13.296629;21.500000;-41.500000;14.119294;6.419679;2.228460;0.542830;0.842815;0.243590;3.522051;1.232117;1.144967;0.349829;3.101211;0.379528;1.360841;0.122381;1.938660;0.492587;0.723036;0.254087 
1.387616;7.264580;24.300000;-42.200000;11.567993;5.905419;2.048469;0.785675;0.631397;0.383543;3.042078;1.329535;0.856272;0.437048;2.313560;0.441916;0.935822;0.191011;1.805721;0.640827;0.582447;0.354887 
16.512634;103.042756;31.100000;-41.800000;43.900662;22.361739;8.496718;3.394116;2.551301;0.399462;11.457079;4.586415;3.435332;0.400313;32.816164;5.258801;13.778682;0.160250;6.724221;1.977933;2.373144;0.294151 
3.428229;13.704752;28.500000;-42.800000;20.507546;11.782268;2.242745;1.037091;0.602827;0.462420;4.178311;2.089778;1.044267;0.500149;4.364571;1.091793;1.636389;0.250149;1.788149;0.765480;0.511335;0.428085 
1.518216;15.712714;27.800000;-43.600000;22.081753;11.190869;2.091324;0.448549;0.821388;0.214481;4.473946;1.390695;1.541626;0.310843;5.004049;0.483508;2.260271;0.096623;1.902345;0.349680;0.776333;0.183815 
4.791358;22.430410;27.300000;-44.400000;25.584435;14.833544;3.014135;1.074232;0.969951;0.356398;5.345444;2.470555;1.437445;0.462180;7.143443;1.525910;2.808766;0.213610;2.355558;0.845239;0.755159;0.358828 
2.791558;9.190918;25.400000;-44.700000;12.219389;7.271065;2.534159;1.225653;0.654253;0.483653;3.421721;1.885769;0.767976;0.551117;2.927044;0.889031;1.019006;0.303730;2.246712;1.096684;0.575014;0.488128 
4.293448;24.781195;26.400000;-40.400000;23.730242;12.947924;5.359732;2.262744;1.548494;0.422175;5.618576;2.338666;1.639955;0.416238;7.892100;1.367340;3.262380;0.173254;2.885522;0.873916;1.005803;0.302862 
12.464060;64.360910;33.600000;-62.700000;24.478776;14.099295;6.099695;3.351261;1.374217;0.549415;7.099241;3.984694;1.557274;0.561284;12.599806;3.969446;4.315180;0.315040;4.975406;2.659426;1.157990;0.534514 
10.978494;39.563390;38.300000;-63.400000;30.012785;13.885020;8.910983;3.134129;2.888427;0.351715;9.054746;3.739698;2.657524;0.413010;20.497105;3.496336;8.500385;0.170577;6.931004;2.302572;2.314216;0.332213 
23.720077;88.709496;36.000000;-65.600000;35.509653;18.967623;10.193776;5.294021;2.449878;0.519339;10.630415;5.496968;2.566724;0.517098;28.251432;7.554165;10.348634;0.267391;7.982646;3.846967;2.067840;0.481916 
1.738602;8.839932;39.000000;-65.700000;12.436521;6.491104;2.574157;0.931382;0.821388;0.361820;3.355750;1.488213;0.933768;0.443482;2.815265;0.553695;1.130785;0.196676;2.072179;0.733689;0.669245;0.354067 
1.518216;8.178774;42.300000;-65.900000;11.356575;5.331162;2.674152;1.005664;0.834244;0.376068;3.227820;1.390695;0.918562;0.430847;2.604705;0.483508;1.060598;0.185629;2.176611;0.815673;0.680469;0.374744 
0.979494;7.027869;38.600000;-68.400000;12.445092;4.796903;2.334169;0.908526;0.712821;0.389229;2.992106;1.117033;0.937537;0.373327;2.238175;0.311941;0.963117;0.139373;1.567578;0.561602;0.502988;0.358261 
1.722277;8.407322;40.700000;-68.400000;14.376424;6.116837;2.028470;1.105659;0.461405;0.545070;3.272608;1.481210;0.895699;0.452608;2.677491;0.548496;1.064498;0.204854;1.599078;0.783366;0.407856;0.489886 
1.861038;11.304992;42.000000;-67.900000;16.153478;10.722321;3.722671;1.974187;0.874242;0.530315;3.794900;1.539724;1.127588;0.405735;3.600316;0.592687;1.503814;0.164621;1.929491;0.449880;0.739806;0.233160 
1.101931;5.762689;43.000000;-68.000000;9.748084;4.714050;2.297028;0.942810;0.677109;0.410448;2.709429;1.184792;0.762318;0.437285;1.835251;0.350933;0.742159;0.191218;1.756296;0.658951;0.548673;0.375194 
0.530559;5.672902;42.900000;-66.600000;9.430957;4.008371;1.942760;0.457120;0.742820;0.235294;2.688239;0.822114;0.933062;0.305819;1.806657;0.168968;0.818844;0.093525;1.822413;0.354541;0.733936;0.194545 
2.122237;10.252036;41.400000;-66.700000;12.845072;7.859607;2.959852;1.239938;0.859957;0.418919;3.613851;1.644228;0.984811;0.454980;3.264980;0.675872;1.294554;0.207006;2.392529;0.725639;0.833445;0.303294 
3.869001;85.803664;41.700000;-70.700000;37.712400;9.816652;7.493911;1.531352;2.981280;0.204346;10.454857;2.220059;4.117399;0.212347;27.326008;1.232166;13.046921;0.045091;6.747260;1.076008;2.835626;0.159473 
0.750945;4.799520;44.700000;-70.900000;9.436671;4.374067;2.122751;0.817102;0.652825;0.384926;2.472658;0.978069;0.747295;0.395554;1.528510;0.239155;0.644678;0.156463;1.459855;0.467483;0.496186;0.320226 
1.240692;17.500291;43.900000;-69.100000;19.267608;11.219439;2.882713;0.922811;0.979951;0.320119;4.721585;1.257179;1.732203;0.266262;5.573341;0.395125;2.589108;0.070896;2.536993;0.284241;1.126376;0.112039 
1.371291;10.219386;41.000000;-63.500000;20.241845;5.708286;2.428450;1.431357;0.498547;0.589412;3.608092;1.321691;1.143200;0.366313;3.254582;0.436717;1.408932;0.134185;1.328841;0.659710;0.334566;0.496455 
5.893288;27.360529;41.800000;-64.500000;22.998850;13.945017;5.485440;2.725578;1.379931;0.496875;5.903743;2.739959;1.581892;0.464105;8.713544;1.876843;3.418350;0.215394;3.382700;1.124837;1.128931;0.332526 
0.767270;5.934100;44.100000;-60.500000;12.687937;3.902662;2.062754;0.742820;0.659967;0.360111;2.726644;0.988643;0.869001;0.362586;1.858647;0.244354;0.807147;0.131469;1.242189;0.555949;0.343120;0.447556 
0.465260;9.297029;44.500000;-61.400000;9.093831;3.819809;1.891334;0.419979;0.735678;0.222054;2.384894;0.769862;0.807516;0.322808;1.421930;0.148172;0.636879;0.104205;1.409856;0.325372;0.542242;0.230784 
2.971131;4.464860;44.000000;-59.500000;16.024913;10.702322;3.022706;1.345647;0.838530;0.445180;4.198172;1.945477;1.126348;0.463410;4.406163;0.946220;1.729971;0.214749;2.477913;0.732133;0.872890;0.295464 
0.930519;5.836151;45.900000;-59.400000;12.333669;8.396723;1.654203;0.665681;0.494261;0.402418;2.766396;1.088749;0.838823;0.393562;1.913236;0.296344;0.808446;0.154891;1.327251;0.286039;0.520606;0.215512 
1.183555;13.835351;40.700000;-56.800000;12.336526;6.593956;1.942760;0.548544;0.697108;0.282353;3.070995;1.227890;0.921552;0.399835;2.357752;0.376928;0.990412;0.159868;1.685607;0.474584;0.605512;0.281551 
1.036631;6.007562;42.200000;-57.200000;10.702322;6.165406;1.688487;0.594256;0.547116;0.351946;2.738061;1.149151;0.794455;0.419695;1.874244;0.330137;0.772053;0.176144;1.561345;0.444609;0.558368;0.284760 
1.224367;7.403341;40.900000;-58.700000;12.933639;8.376724;2.211318;0.688537;0.761391;0.311370;3.192188;1.248881;0.971653;0.391230;2.547516;0.389926;1.078795;0.153061;1.731833;0.379570;0.676132;0.219172 
1.665140;5.885126;45.200000;-56.800000;10.796603;5.402587;2.965566;1.302792;0.831387;0.439306;3.070995;1.456433;0.807281;0.474254;2.357752;0.530299;0.913726;0.224917;2.073754;0.898037;0.587859;0.433049 
1.632490;7.403341;46.300000;-57.100000;13.730742;7.802467;2.642725;0.734249;0.954238;0.277838;3.646789;1.442084;1.102353;0.395439;3.324768;0.519901;1.402434;0.156372;2.197295;0.552751;0.822272;0.251560 
0.612184;10.439772;45.200000;-57.900000;12.039398;4.942610;2.785575;0.565686;1.109945;0.203077;3.297929;0.883092;1.207418;0.267772;2.719083;0.194963;1.262060;0.071702;2.086408;0.326079;0.880164;0.156287 
1.910013;8.537922;38.300000;-61.100000;13.510753;6.939653;3.165556;1.151371;1.007093;0.363718;3.756344;1.559852;1.098246;0.415258;3.527530;0.608284;1.459623;0.172439;2.436141;0.750339;0.842901;0.308003 
1.958988;7.999200;40.500000;-60.100000;11.750841;8.399580;2.288457;1.182798;0.552830;0.516854;2.934206;1.579723;0.677241;0.538382;2.152391;0.623881;0.764255;0.289855;1.617333;0.617357;0.499988;0.381713 
2.709933;11.076443;41.100000;-61.200000;16.767733;12.453663;3.222696;2.039898;0.591399;0.632979;3.745255;1.857995;0.943630;0.496093;3.506734;0.863036;1.321849;0.246108;1.787696;0.565108;0.611294;0.316110 
4.440372;6.758508;42.700000;-61.100000;30.789889;9.188112;6.339683;2.068468;2.135607;0.326273;8.193903;2.378345;2.907779;0.290258;16.785011;1.414131;7.685440;0.084250;4.952125;1.379249;1.786438;0.278517 
0.906032;11.011144;43.900000;-62.400000;13.859307;5.214025;2.439878;0.728535;0.855672;0.298595;3.441417;1.074328;1.183544;0.312176;2.960837;0.288545;1.336146;0.097454;1.882456;0.465793;0.708332;0.247439 
0.563209;52.704933;44.200000;-63.300000;10.502332;4.948324;1.857050;0.451406;0.702822;0.243077;2.749430;0.847032;0.951199;0.308076;1.889841;0.179366;0.855237;0.094911;1.621108;0.298490;0.661309;0.184127 
2.726258;11.713114;40.100000;-50.500000;14.330712;8.573857;2.694151;1.005664;0.844244;0.373277;3.862792;1.863583;0.999605;0.482444;3.730291;0.868235;1.431028;0.232753;2.381323;0.860620;0.760352;0.361404 
1.852876;9.582715;41.000000;-51.500000;15.102102;6.471105;3.534109;1.022806;1.255652;0.289410;4.333455;1.536344;1.398556;0.354531;4.694708;0.590088;2.052310;0.125692;2.974657;0.791805;1.091426;0.266184 
0.652996;14.741383;38.000000;-51.500000;15.996343;4.688337;2.479876;0.562829;0.958523;0.226959;3.493892;0.912054;1.290919;0.261042;3.051820;0.207960;1.421930;0.068143;1.622997;0.370224;0.626386;0.228112 
2.269161;17.524778;42.500000;-52.400000;18.293371;10.390909;3.516967;0.919954;1.298507;0.261576;4.724887;1.700191;1.512348;0.359837;5.581139;0.722663;2.429238;0.129483;2.731371;0.570696;1.080337;0.208941 
