Name;CenterX;CenterY;Area;Perimeter;MinFeret;CircleAreaDiameter;CirclePerimeterDiameter;SAEDiameter;PerimeterError;AreaError 
Unmyelinated axon;24.900000;-52.200000;0.359148;2.777004;0.468548;0.676397;0.884396;0.360324;0.013067;-0.000182 
Unmyelinated axon;25.400000;-52.000000;0.032650;0.722821;0.182848;0.203941;0.230198;0.135638;0.001876;-0.000017 
Unmyelinated axon;25.500000;-52.200000;0.636671;3.822666;0.548544;0.900581;1.217410;0.459316;0.019136;-0.000323 
Unmyelinated axon;25.600000;-52.300000;0.236711;2.102752;0.442835;0.549129;0.669666;0.322434;0.008151;-0.000120 
Unmyelinated axon;23.600000;-52.400000;0.604021;3.468398;0.848529;0.877185;1.104585;0.491885;0.014890;-0.000306 
Unmyelinated axon;23.300000;-52.700000;0.881544;3.914090;0.839958;1.059711;1.246525;0.657547;0.013030;-0.000447 
Unmyelinated axon;25.000000;-52.700000;0.326498;2.265601;0.599970;0.644919;0.721529;0.435885;0.005485;-0.000166 
Unmyelinated axon;24.800000;-52.700000;0.187736;1.837051;0.465691;0.489034;0.585048;0.295548;0.006606;-0.000095 
Unmyelinated axon;24.900000;-53.000000;0.342823;2.599870;0.531402;0.660846;0.827984;0.373201;0.011002;-0.000174 
Unmyelinated axon;25.100000;-52.800000;0.171411;1.974187;0.351411;0.467288;0.628722;0.239772;0.009806;-0.000087 
Unmyelinated axon;22.700000;-62.400000;0.375473;2.682723;0.499975;0.691599;0.854370;0.398510;0.010870;-0.000190 
Unmyelinated axon;22.600000;-62.100000;0.114274;1.525638;0.305699;0.381539;0.485872;0.210642;0.006750;-0.000058 
Unmyelinated axon;24.000000;-61.900000;0.669321;4.131222;0.574257;0.923384;1.315676;0.440898;0.022183;-0.000339 
Unmyelinated axon;25.500000;-62.200000;0.212224;1.985615;0.402837;0.519951;0.632361;0.306531;0.007621;-0.000108 
Unmyelinated axon;23.200000;-63.700000;0.734620;4.116937;0.577114;0.967379;1.311126;0.491736;0.020697;-0.000373 
Unmyelinated axon;23.500000;-64.100000;2.016125;5.985415;1.182798;1.602595;1.906183;0.977199;0.020989;-0.001023 
Unmyelinated axon;22.800000;-64.800000;0.816245;4.311213;0.739963;1.019707;1.372998;0.522728;0.021441;-0.000414 
Unmyelinated axon;21.800000;-64.500000;0.742783;4.368353;0.582828;0.972739;1.391195;0.462341;0.023548;-0.000377 
Unmyelinated axon;22.400000;-65.000000;0.350985;2.554158;0.605684;0.668667;0.813426;0.394063;0.009811;-0.000178 
Unmyelinated axon;22.600000;-65.100000;0.530559;3.479826;0.637111;0.822114;1.108225;0.420810;0.017340;-0.000269 
Unmyelinated axon;22.800000;-64.600000;0.179574;2.248459;0.262844;0.478285;0.716070;0.215157;0.012593;-0.000091 
Unmyelinated axon;23.300000;-66.100000;0.865220;3.751241;0.874242;1.049853;1.194663;0.688319;0.010311;-0.000439 
Unmyelinated axon;24.800000;-66.200000;1.224367;4.268358;0.999950;1.248881;1.359350;0.890717;0.007877;-0.000621 
Unmyelinated axon;24.600000;-66.500000;0.106112;1.411358;0.257130;0.367661;0.449477;0.215094;0.005519;-0.000054 
Unmyelinated axon;25.500000;-67.500000;1.061118;4.368353;0.799960;1.162645;1.391195;0.702424;0.015722;-0.000538 
Unmyelinated axon;24.400000;-67.700000;0.146924;1.671345;0.285700;0.432625;0.532275;0.250758;0.006681;-0.000075 
Unmyelinated axon;30.000000;-68.200000;0.595859;3.016992;0.788532;0.871238;0.960825;0.605144;0.006418;-0.000302 
Unmyelinated axon;29.800000;-68.500000;0.391798;2.831287;0.579971;0.706474;0.901684;0.388830;0.012599;-0.000199 
Unmyelinated axon;30.100000;-68.600000;0.767270;3.705529;0.908526;0.988643;1.180105;0.599540;0.013198;-0.000389 
Unmyelinated axon;29.800000;-68.800000;0.750945;3.674102;0.971380;0.978069;1.170096;0.591095;0.013212;-0.000381 
Unmyelinated axon;30.100000;-69.000000;1.044793;4.562629;1.028520;1.153667;1.453067;0.646720;0.019600;-0.000530 
Unmyelinated axon;29.100000;-69.100000;1.044793;4.768333;1.102802;1.153667;1.518577;0.609132;0.022747;-0.000530 
Unmyelinated axon;50.100000;-49.300000;0.432610;2.831287;0.602827;0.742358;0.901684;0.438491;0.010814;-0.000219 
Unmyelinated axon;50.400000;-49.500000;0.146924;1.628490;0.348554;0.432625;0.518627;0.260637;0.005907;-0.000075 
Unmyelinated axon;49.600000;-49.500000;0.399960;2.885570;0.617112;0.713795;0.918971;0.388232;0.013116;-0.000203 
Unmyelinated axon;49.900000;-49.500000;0.253036;2.179891;0.445692;0.567749;0.694233;0.332053;0.008531;-0.000128 
Unmyelinated axon;50.200000;-49.500000;0.359148;3.005564;0.419979;0.676397;0.957186;0.325693;0.016018;-0.000182 
Unmyelinated axon;49.900000;-49.900000;0.546884;3.302692;0.614255;0.834666;1.051813;0.467563;0.014208;-0.000277 
Unmyelinated axon;49.400000;-49.800000;0.342823;2.508446;0.468548;0.660846;0.798868;0.393127;0.009409;-0.000174 
Unmyelinated axon;49.700000;-49.800000;0.424447;2.888427;0.505689;0.735321;0.919881;0.416162;0.012168;-0.000215 
Unmyelinated axon;49.600000;-50.100000;0.359148;2.794146;0.611398;0.676397;0.889855;0.357395;0.013315;-0.000182 
Unmyelinated axon;49.900000;-50.200000;0.465260;3.279836;0.677109;0.769862;1.044534;0.390802;0.016516;-0.000236 
